Group,Part Number,Known As,Description,Reco,Hold,Quar,RECOLEICS,HoldLeics,QuarLeics,Thorn,ExtLeics,MTS,Ryr,May,Apr,Mar,Feb,Jan,Dec,Nov,Oct,Sep,Aug,Jul,Jun,Min,Max,Range
TURB,RCT31098R,825366-5004S,Hino Motors Ranger 7.7d 264hp 2014> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31098REB,825366-5004S-REB,Hino Motors Ranger 7.7d 264hp 2014> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31099BNU,825623-5011S-BNU,Toyota Truck 8.8d 350hp 2015> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31099BNU-OEM,825623-5011S-BNU-OEM,Toyota Truck 8.8d 350hp 2015> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31099OU,825623-5011S-OU,825623-5011S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TURB,RCT31099R,825623-5011S,Toyota Truck 8.8d 350hp 2015> Reman Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,REMAN
TURB,RCT31099REB,825623-5011S-REB,Toyota Truck 8.8d 350hp 2015> REBUILT Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REB
TURB,RCT31100BNU,825834-5006S-BNU,Subaru Levorg 1.6p 168hp 2015> NEW Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU
TURB,RCT31100BNU-OEM,825834-5006S-BNU-OEM,Subaru Levorg 1.6p 168hp 2015> New OE Turbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BNU-OEM
OLDUNIT,RCT31100OU,825834-5006S-OU,825834-5006S Old Core Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
